                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 3.1966,                 3.8996,                 2.5158,                0.00033,                0.07895,                 0.0014,                0.00093,                 3.5659,                 6.1652,                 3.1975,              0.0096733,              0.0096733,              0.0096733
                     35,                 2.9302,                 4.0795,                 2.3383,                0.00033,                0.10526,                0.00026,                  4e-05,                 3.5921,                 5.1972,                 3.1157,              0.0096634,              0.0096634,              0.0096634
                     36,                 2.9741,                 4.2439,                 2.3546,                0.00017,                0.05263,                0.00012,                  4e-05,                 3.5364,                 4.9707,                 3.4363,              0.0096535,              0.0096535,              0.0096535
                     37,                 2.9985,                 3.9909,                 2.3834,                  8e-05,                0.02632,                  5e-05,                      0,                 3.6516,                 8.3297,                 3.8963,              0.0096436,              0.0096436,              0.0096436
                     38,                 2.9186,                 3.7791,                 2.2601,                0.00025,                0.07895,                0.00016,                  5e-05,                 3.6477,                 7.1485,                 3.8777,              0.0096337,              0.0096337,              0.0096337
                     39,                  2.966,                 4.0423,                 2.3719,                0.00033,                0.10526,                0.00023,                  4e-05,                 4.0584,                 5.0942,                 4.3332,              0.0096238,              0.0096238,              0.0096238
                     40,                 3.2198,                 4.1563,                  2.422,                0.00034,                0.10526,                0.00029,                  7e-05,                 3.7209,                  4.948,                 3.9397,              0.0096139,              0.0096139,              0.0096139
                     41,                  3.303,                 3.8975,                 2.5623,                0.00025,                0.07895,                0.00039,                  7e-05,                 3.8631,                 4.9346,                 3.5011,               0.009604,               0.009604,               0.009604
                     42,                 3.1488,                 3.9695,                  2.521,                0.00025,                0.07895,                0.00015,                  1e-05,                 3.6899,                 5.5766,                 3.4162,              0.0095941,              0.0095941,              0.0095941
                     43,                 3.0923,                 4.2289,                 2.4793,                0.00019,                0.05263,                0.00023,                  3e-05,                 3.8478,                 4.7575,                 4.1332,              0.0095842,              0.0095842,              0.0095842
                     44,                 2.9529,                 3.9834,                 2.4078,                0.00033,                0.10526,                0.00074,                0.00014,                 3.8066,                  4.592,                 4.2865,              0.0095743,              0.0095743,              0.0095743
                     45,                   3.04,                 3.9629,                 2.4014,                0.00042,                0.13158,                0.00055,                0.00019,                 3.6369,                 4.7107,                 3.8911,              0.0095644,              0.0095644,              0.0095644
                     46,                 3.2397,                 4.1283,                  2.516,                0.00017,                0.05263,                0.00018,                  2e-05,                 3.6645,                 5.2888,                 4.9584,              0.0095545,              0.0095545,              0.0095545
                     47,                 3.2316,                 4.0188,                 2.4677,                0.00025,                0.07895,                0.00017,                  4e-05,                 4.1342,                 5.9207,                 4.0721,              0.0095446,              0.0095446,              0.0095446
                     48,                 3.1394,                 4.1464,                 2.4785,                0.00025,                0.07895,                0.00052,                0.00017,                 3.6452,                 4.4744,                 5.2405,              0.0095347,              0.0095347,              0.0095347
                     49,                 3.0875,                 4.1076,                 2.4467,                0.00025,                0.07895,                0.00019,                  5e-05,                 3.5181,                 4.7071,                 3.5966,              0.0095248,              0.0095248,              0.0095248
                     50,                 3.0476,                 4.1291,                 2.4245,                 0.0005,                0.15789,                0.00083,                0.00024,                 3.3403,                 4.2584,                 3.2884,              0.0095149,              0.0095149,              0.0095149
                     51,                 3.2447,                 4.1829,                 2.3752,                0.00056,                0.15789,                0.00111,                0.00028,                 3.7746,                 4.1839,                 4.3622,               0.009505,               0.009505,               0.009505
                     52,                 3.0126,                 4.0264,                 2.3981,                0.00025,                0.07895,                0.00023,                  4e-05,                 3.7818,                 4.5084,                 4.4373,              0.0094951,              0.0094951,              0.0094951
                     53,                 3.2521,                 3.9167,                 2.5454,                  8e-05,                0.02632,                  4e-05,                  1e-05,                 3.9694,                 14.652,                  5.566,              0.0094852,              0.0094852,              0.0094852
                     54,                 3.0521,                 4.0738,                 2.4824,                0.00034,                0.10526,                0.00037,                  6e-05,                 3.8006,                 4.3335,                 4.0991,              0.0094753,              0.0094753,              0.0094753
                     55,                 2.9756,                 3.7925,                 2.4085,                0.00025,                0.07895,                0.00016,                  3e-05,                 3.8982,                  4.977,                 3.8525,              0.0094654,              0.0094654,              0.0094654
                     56,                 3.0097,                 3.9756,                 2.4711,                0.00017,                0.05263,                 0.0001,                  3e-05,                 3.6455,                 4.7126,                 3.5685,              0.0094555,              0.0094555,              0.0094555
                     57,                 3.1185,                 3.7324,                 2.4277,                  8e-05,                0.02632,                  6e-05,                  2e-05,                 4.0451,                 6.6643,                 4.1467,              0.0094456,              0.0094456,              0.0094456
                     58,                  3.083,                 3.7816,                 2.5197,                0.51526,                0.02632,                0.00691,                 0.0024,                 3.6792,                 21.183,                  3.684,              0.0094357,              0.0094357,              0.0094357
                     59,                 2.9906,                 4.0563,                 2.4442,                  8e-05,                0.02632,                0.00554,                0.00126,                 3.6863,                 5.1335,                 3.9294,              0.0094258,              0.0094258,              0.0094258
                     60,                 3.2039,                 3.9916,                 2.6187,                0.52179,                0.02632,                0.00355,                0.00144,                 3.4182,                  5.836,                 3.7156,              0.0094159,              0.0094159,              0.0094159
                     61,                 2.9556,                 4.0014,                 2.3467,                0.02429,                0.02632,                0.00185,                0.00069,                  3.622,                  9.074,                 4.7645,               0.009406,               0.009406,               0.009406
                     62,                 3.0212,                   3.86,                 2.3302,                0.50088,                0.05263,                0.00128,                0.00037,                 3.2777,                 6.0901,                 3.2624,              0.0093961,              0.0093961,              0.0093961
                     63,                 3.1401,                  4.009,                 2.4587,                0.00025,                0.07895,                0.00015,                  2e-05,                 3.4275,                 4.4413,                 3.1115,              0.0093862,              0.0093862,              0.0093862
                     64,                  3.073,                 3.9247,                 2.3755,                0.00042,                0.13158,                0.00029,                  7e-05,                 3.4204,                 4.3956,                 3.0827,              0.0093763,              0.0093763,              0.0093763
