                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  3.111,                 4.0036,                 2.5626,                0.00017,                0.05263,                0.00119,                0.00015,                 3.9696,                 4.7711,                 3.3624,              0.0096733,              0.0096733,              0.0096733
                     35,                 3.2355,                 4.0739,                 2.6591,                 0.0003,                0.07895,                0.00117,                0.00035,                 3.7527,                 4.8446,                 3.2843,              0.0096634,              0.0096634,              0.0096634
                     36,                 3.1298,                 3.9703,                 2.4775,                0.00017,                0.05263,                0.00027,                  7e-05,                 3.8683,                 5.3251,                 3.3924,              0.0096535,              0.0096535,              0.0096535
                     37,                 3.1445,                 3.9736,                 2.4876,                0.00033,                0.10526,                0.00021,                  5e-05,                 4.0213,                 5.8773,                  3.617,              0.0096436,              0.0096436,              0.0096436
                     38,                 3.1565,                 4.1163,                 2.4742,                0.00042,                0.13158,                0.00052,                0.00011,                 3.9407,                  4.913,                 3.4836,              0.0096337,              0.0096337,              0.0096337
                     39,                 2.9399,                  3.765,                 2.3654,                  8e-05,                0.02632,                  5e-05,                  1e-05,                 4.1934,                  6.604,                 3.6624,              0.0096238,              0.0096238,              0.0096238
                     40,                  3.118,                 4.3594,                 2.5352,                0.00038,                0.05263,                0.00063,                 0.0001,                 3.9421,                 4.6163,                 3.4133,              0.0096139,              0.0096139,              0.0096139
                     41,                 3.0257,                 4.2341,                 2.4283,                0.00018,                0.02632,                0.00061,                0.00014,                 3.9145,                 4.4557,                 3.6472,               0.009604,               0.009604,               0.009604
                     42,                 3.1648,                 4.0897,                 2.5119,                0.00025,                0.07895,                0.00074,                0.00013,                 3.7753,                 4.3278,                  3.655,              0.0095941,              0.0095941,              0.0095941
                     43,                 3.1035,                 4.0373,                 2.3686,                0.00026,                0.07895,                0.00019,                  5e-05,                  3.885,                 4.5168,                  3.763,              0.0095842,              0.0095842,              0.0095842
                     44,                 3.1118,                 3.7746,                 2.4401,                0.00034,                0.10526,                0.00023,                  7e-05,                 3.9895,                 19.192,                 3.9716,              0.0095743,              0.0095743,              0.0095743
                     45,                 2.9987,                 4.3235,                 2.4214,                0.00028,                0.02632,                0.00056,                0.00028,                 3.9315,                 4.4611,                 3.8544,              0.0095644,              0.0095644,              0.0095644
                     46,                 3.0143,                 3.9026,                 2.3624,                0.00027,                0.05263,                0.00105,                0.00045,                 4.1317,                 4.5717,                 4.0465,              0.0095545,              0.0095545,              0.0095545
                     47,                 2.8907,                 4.0614,                 2.3909,                  8e-05,                0.02632,                  5e-05,                  2e-05,                 4.1528,                 5.6558,                 3.9253,              0.0095446,              0.0095446,              0.0095446
                     48,                 2.9274,                 3.9611,                 2.5049,                  8e-05,                0.02632,                  5e-05,                  2e-05,                 4.2534,                 5.4574,                 4.0215,              0.0095347,              0.0095347,              0.0095347
