                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0973,                 1.4677,                 1.2304,                0.67076,                0.34503,                0.37882,                0.26432,                 1.2308,                 1.6668,                 1.4082,              0.0096733,              0.0096733,              0.0096733
                     35,                 1.1132,                 1.4578,                 1.2604,                0.62555,                0.40778,                0.42601,                0.28864,                 1.2098,                  1.677,                 1.3764,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.0753,                 1.4173,                 1.2228,                0.62717,                 0.3806,                0.39407,                0.26968,                 1.2553,                 1.7164,                  1.401,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.0733,                 1.4012,                 1.2266,                0.55592,                0.38003,                0.38122,                0.27428,                 1.2507,                 1.7218,                 1.4006,              0.0096436,              0.0096436,              0.0096436
                     38,                 1.0793,                 1.3762,                 1.2229,                0.65674,                0.38924,                0.38424,                0.26852,                 1.2594,                 1.6544,                 1.4003,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.0803,                  1.375,                 1.2297,                0.52758,                0.40692,                0.39357,                0.26585,                 1.2706,                 1.6426,                 1.4066,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.0458,                 1.3519,                  1.215,                0.55564,                0.41527,                0.39589,                0.28883,                 1.2125,                 1.7169,                 1.3927,              0.0096139,              0.0096139,              0.0096139
                     41,                 1.0565,                  1.302,                 1.2286,                0.72734,                0.35229,                0.40108,                0.28436,                 1.2143,                 1.6993,                 1.3991,               0.009604,               0.009604,               0.009604
                     42,                 1.0495,                 1.3334,                 1.2188,                0.60299,                0.45269,                0.39437,                0.28066,                 1.2319,                 1.5739,                 1.4191,              0.0095941,              0.0095941,              0.0095941
                     43,                 1.0287,                  1.312,                 1.2018,                0.64466,                0.34026,                0.38099,                0.25749,                 1.2956,                 1.7669,                 1.4423,              0.0095842,              0.0095842,              0.0095842
                     44,                 1.0436,                 1.2915,                 1.2087,                0.53631,                0.39126,                0.36342,                0.26244,                  1.217,                 1.7103,                 1.4123,              0.0095743,              0.0095743,              0.0095743
                     45,                 1.0028,                 1.2365,                 1.1907,                0.44337,                0.44483,                0.37607,                 0.2623,                 1.2114,                 1.6934,                 1.4118,              0.0095644,              0.0095644,              0.0095644
                     46,                 1.0062,                 1.2087,                 1.1777,                0.60073,                0.43949,                0.43436,                0.29737,                    1.2,                 1.6977,                 1.3962,              0.0095545,              0.0095545,              0.0095545
                     47,                 1.0157,                 1.2467,                 1.1849,                0.58292,                0.41171,                 0.3731,                0.26346,                 1.2421,                 1.7004,                 1.4008,              0.0095446,              0.0095446,              0.0095446
                     48,                0.99801,                 1.2421,                 1.1809,                0.61923,                0.40839,                0.39175,                0.26337,                  1.255,                 1.6865,                 1.4102,              0.0095347,              0.0095347,              0.0095347
                     49,                0.96805,                 1.1528,                 1.1602,                 0.6185,                0.37522,                0.36969,                0.26288,                 1.2327,                 1.7602,                 1.4238,              0.0095248,              0.0095248,              0.0095248
                     50,                 0.9863,                 1.1743,                 1.1833,                0.54112,                0.48588,                0.42531,                0.30025,                 1.2226,                 1.6919,                 1.3984,              0.0095149,              0.0095149,              0.0095149
                     51,                0.99338,                 1.1589,                 1.1681,                0.57922,                0.43942,                0.41069,                0.27773,                 1.2574,                  1.626,                  1.416,               0.009505,               0.009505,               0.009505
                     52,                0.98292,                 1.1909,                 1.1775,                0.58921,                0.42742,                0.42775,                0.28872,                 1.2666,                 1.7272,                 1.4387,              0.0094951,              0.0094951,              0.0094951
                     53,                 0.9654,                 1.1416,                 1.1597,                0.56215,                0.43355,                0.37714,                0.26913,                  1.259,                 1.6663,                 1.4203,              0.0094852,              0.0094852,              0.0094852
                     54,                0.96098,                  1.109,                 1.1475,                0.66133,                0.38066,                0.42974,                0.30629,                 1.2429,                 1.6864,                 1.4284,              0.0094753,              0.0094753,              0.0094753
                     55,                 0.9559,                 1.0993,                 1.1532,                0.63911,                0.38604,                0.39381,                0.28049,                 1.2113,                  1.728,                 1.3992,              0.0094654,              0.0094654,              0.0094654
                     56,                0.97052,                 1.1013,                  1.154,                0.55282,                0.43336,                0.37749,                0.26679,                 1.2646,                 1.6992,                 1.4158,              0.0094555,              0.0094555,              0.0094555
