                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1456,                 1.5281,                 1.2581,                0.55766,                0.32862,                0.33552,                0.22774,                 1.3323,                 1.8078,                 1.4577,              0.0096733,              0.0096733,              0.0096733
                     35,                 1.1615,                 1.5656,                  1.287,                0.70885,                0.35258,                0.37961,                0.25154,                 1.3391,                  1.843,                   1.43,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.1371,                 1.4927,                 1.2505,                 0.4934,                0.42644,                0.36118,                0.24629,                 1.3184,                 1.8584,                 1.4411,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.1336,                 1.4986,                 1.2566,                0.60048,                0.38123,                0.39431,                0.27194,                 1.2964,                 1.7909,                  1.437,              0.0096436,              0.0096436,              0.0096436
                     38,                 1.1251,                 1.4667,                 1.2403,                0.59686,                0.39265,                0.37586,                0.26687,                 1.2578,                  1.685,                 1.4152,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.1258,                 1.4814,                 1.2543,                0.50226,                0.40417,                0.36466,                0.25147,                 1.3048,                 1.6934,                 1.4419,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.1043,                 1.4447,                 1.2483,                0.50473,                0.43528,                0.36844,                0.27404,                 1.2768,                 1.7509,                 1.4256,              0.0096139,              0.0096139,              0.0096139
                     41,                 1.1195,                 1.4255,                  1.266,                0.48528,                0.42063,                0.34937,                0.24628,                 1.3018,                 1.7269,                 1.4361,               0.009604,               0.009604,               0.009604
                     42,                 1.1094,                  1.448,                 1.2563,                0.43042,                0.46255,                0.37306,                0.26778,                 1.2637,                 1.6976,                  1.407,              0.0095941,              0.0095941,              0.0095941
                     43,                 1.0882,                  1.409,                 1.2262,                0.50391,                0.40492,                0.36076,                0.25407,                 1.3865,                   1.92,                 1.4984,              0.0095842,              0.0095842,              0.0095842
                     44,                 1.1005,                 1.4247,                  1.243,                 0.5358,                0.38315,                0.36246,                0.25915,                  1.306,                 1.7152,                 1.4412,              0.0095743,              0.0095743,              0.0095743
                     45,                 1.0658,                 1.3627,                 1.2226,                0.62152,                0.40456,                0.38095,                0.27558,                 1.3303,                 1.7372,                 1.4689,              0.0095644,              0.0095644,              0.0095644
                     46,                  1.061,                 1.3293,                 1.2089,                0.53351,                0.40721,                0.38728,                0.28523,                 1.2894,                 1.6573,                 1.4245,              0.0095545,              0.0095545,              0.0095545
                     47,                 1.0879,                 1.3752,                 1.2231,                0.55613,                0.38985,                0.34341,                 0.2487,                 1.3084,                 1.7476,                 1.4424,              0.0095446,              0.0095446,              0.0095446
                     48,                 1.0757,                 1.3433,                 1.2203,                 0.6651,                0.41645,                0.38906,                0.26385,                 1.3086,                 1.7206,                 1.4493,              0.0095347,              0.0095347,              0.0095347
                     49,                 1.0459,                 1.2636,                 1.2042,                0.63054,                 0.3597,                0.39162,                0.27155,                 1.2772,                 1.6998,                 1.4396,              0.0095248,              0.0095248,              0.0095248
                     50,                 1.0642,                 1.2995,                 1.2271,                0.61068,                0.38346,                0.44041,                0.26657,                 1.3184,                   1.83,                 1.4436,              0.0095149,              0.0095149,              0.0095149
                     51,                 1.0504,                 1.2591,                 1.1982,                0.51129,                0.44128,                0.36389,                0.25354,                 1.2446,                 1.7188,                 1.3936,               0.009505,               0.009505,               0.009505
                     52,                  1.067,                 1.2985,                  1.221,                0.57133,                0.40588,                0.40808,                0.27372,                 1.2673,                  1.683,                 1.4176,              0.0094951,              0.0094951,              0.0094951
                     53,                 1.0364,                 1.2603,                  1.204,                0.51786,                0.43465,                0.36372,                0.25619,                  1.341,                 1.7828,                 1.4691,              0.0094852,              0.0094852,              0.0094852
                     54,                 1.0393,                 1.2438,                 1.1975,                0.49805,                0.44003,                0.41123,                0.27841,                 1.2995,                 1.6815,                 1.4568,              0.0094753,              0.0094753,              0.0094753
                     55,                 1.0476,                 1.2272,                 1.1973,                0.60045,                0.37248,                0.37823,                0.26061,                 1.3022,                 1.6354,                 1.4493,              0.0094654,              0.0094654,              0.0094654
                     56,                 1.0392,                 1.2309,                 1.1913,                0.55755,                0.42896,                0.38475,                0.28367,                 1.2845,                   1.62,                 1.4322,              0.0094555,              0.0094555,              0.0094555
                     57,                 1.0412,                 1.2044,                 1.2007,                0.68256,                0.36726,                0.37702,                0.26926,                 1.2937,                 1.6584,                 1.4297,              0.0094456,              0.0094456,              0.0094456
                     58,                 1.0242,                 1.2242,                 1.2034,                0.58222,                0.44641,                0.42831,                0.30164,                    1.3,                 1.6339,                 1.4653,              0.0094357,              0.0094357,              0.0094357
                     59,                 1.0159,                 1.1839,                 1.1844,                0.75354,                0.38109,                0.44907,                0.30507,                 1.2895,                 1.6307,                  1.421,              0.0094258,              0.0094258,              0.0094258
                     60,                 1.0235,                 1.1653,                 1.1829,                0.57777,                0.39335,                0.37926,                0.26193,                 1.3742,                 1.6923,                 1.4949,              0.0094159,              0.0094159,              0.0094159
                     61,                0.98545,                 1.1392,                 1.1629,                 0.5176,                0.34382,                  0.355,                 0.2487,                 1.3314,                 1.7751,                 1.4995,               0.009406,               0.009406,               0.009406
                     62,                0.98999,                 1.1354,                 1.1707,                0.58468,                0.42518,                0.39634,                0.28565,                 1.2822,                 1.6288,                 1.4505,              0.0093961,              0.0093961,              0.0093961
                     63,                0.96958,                 1.1098,                 1.1529,                0.57435,                0.42137,                 0.3825,                0.27994,                 1.2425,                 1.7067,                 1.4197,              0.0093862,              0.0093862,              0.0093862
                     64,                  0.989,                 1.1168,                 1.1673,                0.52713,                0.50215,                0.43654,                 0.2964,                 1.2774,                 1.5499,                 1.4308,              0.0093763,              0.0093763,              0.0093763
                     65,                0.98096,                 1.1135,                 1.1536,                0.55743,                0.44568,                0.41699,                0.29456,                 1.3076,                 1.6764,                 1.4535,              0.0093664,              0.0093664,              0.0093664
                     66,                0.97184,                 1.1044,                 1.1528,                0.56451,                0.43498,                0.40507,                0.28937,                 1.2862,                 1.5867,                 1.4555,              0.0093565,              0.0093565,              0.0093565
                     67,                0.95711,                  1.087,                 1.1487,                0.59348,                0.46995,                0.44837,                0.30011,                 1.3031,                 1.6685,                 1.4735,              0.0093466,              0.0093466,              0.0093466
                     68,                0.95105,                 1.0516,                 1.1404,                0.50546,                0.44366,                0.41669,                 0.2871,                 1.3296,                 1.6742,                 1.4868,              0.0093367,              0.0093367,              0.0093367
                     69,                0.97285,                 1.0596,                 1.1501,                0.54603,                0.45893,                0.41069,                 0.2805,                 1.3076,                 1.7105,                 1.4402,              0.0093268,              0.0093268,              0.0093268
                     70,                0.98787,                 1.0854,                 1.1549,                 0.5203,                0.50224,                0.40801,                0.29372,                 1.3024,                  1.656,                   1.46,              0.0093169,              0.0093169,              0.0093169
                     71,                0.96929,                  1.067,                 1.1553,                0.56606,                0.44724,                0.40453,                0.28088,                 1.3255,                 1.6776,                  1.476,               0.009307,               0.009307,               0.009307
                     72,                0.94389,                 1.0404,                 1.1363,                0.68922,                0.38762,                0.41832,                0.29604,                 1.3176,                 1.7672,                 1.4696,              0.0092971,              0.0092971,              0.0092971
                     73,                0.94764,                 1.0265,                 1.1382,                0.67759,                0.39244,                0.40537,                 0.2907,                 1.3532,                 1.6052,                 1.5002,              0.0092872,              0.0092872,              0.0092872
                     74,                0.93927,                 1.0128,                 1.1347,                0.58083,                0.38897,                0.40914,                0.29451,                 1.2914,                 1.6521,                 1.4506,              0.0092773,              0.0092773,              0.0092773
                     75,                0.93429,                 1.0302,                 1.1287,                0.61859,                0.43336,                0.41839,                  0.297,                 1.3076,                 1.7125,                 1.4767,              0.0092674,              0.0092674,              0.0092674
                     76,                0.93335,                0.98122,                 1.1384,                0.72536,                0.36473,                0.40691,                0.28778,                 1.3173,                 1.6775,                 1.4785,              0.0092575,              0.0092575,              0.0092575
